
Accuracy: 93.09% (23411/25148)

Tag	Count	Prec	Rec
--------------------------------
ADJ	1789	88.77%	89.71%
ADP	2023	92.36%	95.60%
ADV	1266	90.48%	86.33%
AUX	916	91.68%	96.18%
CONJ	780	99.35%	98.72%
DET	1985	97.49%	97.73%
INTJ	115	96.10%	64.35%
NOUN	4267	89.46%	91.91%
NUM	378	96.30%	96.30%
PART	630	93.21%	95.87%
PRON	2058	98.78%	98.15%
PROPN	1878	85.23%	83.87%
PUNCT	3083	99.32%	99.71%
SCONJ	402	87.02%	78.36%
SYM	67	85.00%	76.12%
VERB	3357	93.77%	92.79%
X	154	79.57%	48.05%

