
Accuracy: 91.82% (23092/25148)

Tag	Count	Prec	Rec
--------------------------------
ADJ	1789	87.51%	88.15%
ADP	2023	89.83%	95.16%
ADV	1266	89.25%	81.28%
AUX	916	89.13%	90.39%
CONJ	780	98.85%	98.85%
DET	1985	96.53%	96.83%
INTJ	115	91.25%	63.48%
NOUN	4267	89.16%	90.63%
NUM	378	96.07%	97.09%
PART	630	90.60%	96.35%
PRON	2058	97.98%	96.70%
PROPN	1878	84.48%	84.66%
PUNCT	3083	99.39%	99.87%
SCONJ	402	76.62%	67.66%
SYM	67	90.16%	82.09%
VERB	3357	91.11%	91.27%
X	154	83.52%	49.35%

